Placement,Product
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Financial|Sport|45301082|DCM,Trade Desk AutoTrader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Learn More|Sport|45301082|DCM,Trade Desk AutoTrader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Test Drive|Sport|45301082|DCM,Trade Desk AutoTrader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,Trade Desk AutoTrader PMP DMPU
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Sport|45302104|DCM,Trade Desk AutoTrader PMP DMPU
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,Trade Desk AutoTrader PMP DMPU
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Financial|Sport|45302106|DCM,Trade Desk AutoTrader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Learn More|Sport|45302106|DCM,Trade Desk AutoTrader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Test Drive|Sport|45302106|DCM,Trade Desk AutoTrader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Sport|45300581|DCM,Trade Desk AutoTrader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Learn More|Sport|45300581|DCM,Trade Desk AutoTrader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Sport|45300581|DCM,Trade Desk AutoTrader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,Trade Desk AutoTrader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Sport|45300587|DCM,Trade Desk AutoTrader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Parkers|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,Trade Desk AutoTrader PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Financial|Standard Edition|45283386|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Learn More|Standard Edition|45283386|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Test Drive|Standard Edition|45283386|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Financial|Standard Edition|45283388|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Learn More|Standard Edition|45283388|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Test Drive|Standard Edition|45283388|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Standard Edition|45299897|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Standard Edition|45299897|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Standard Edition|45299897|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Financial|Standard Edition|45301005|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Learn More|Standard Edition|45301005|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Test Drive|Standard Edition|45301005|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Standard Edition|45300529|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Learn More|Standard Edition|45300529|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Standard Edition|45300529|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Standard Edition|45300531|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Standard Edition|45300531|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Standard Edition|45300531|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Financial|Standard Edition|45298018|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Learn More|Standard Edition|45298018|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Test Drive|Standard Edition|45298018|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Financial|Standard Edition|45298045|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Learn More|Standard Edition|45298045|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Test Drive|Standard Edition|45298045|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Standard Edition|45297698|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Standard Edition|45297698|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Standard Edition|45297698|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Financial|Standard Edition|45281399|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Learn More|Standard Edition|45281399|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Test Drive|Standard Edition|45281399|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Standard Edition|45298091|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Learn More|Standard Edition|45298091|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Standard Edition|45298091|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Standard Edition|45298098|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Standard Edition|45298098|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda2|None|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Standard Edition|45298098|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Financial|Standard Edition|45300591|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Learn More|Standard Edition|45300591|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Test Drive|Standard Edition|45300591|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Financial|Standard Edition|45302400|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Learn More|Standard Edition|45302400|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Test Drive|Standard Edition|45302400|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Standard Edition|45302411|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Standard Edition|45302411|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Standard Edition|45302411|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Financial|Standard Edition|45302423|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Learn More|Standard Edition|45302423|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Test Drive|Standard Edition|45302423|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Standard Edition|45302433|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Learn More|Standard Edition|45302433|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Standard Edition|45302433|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Standard Edition|45298536|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Standard Edition|45298536|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda3|Hatchback|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Standard Edition|45298536|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Financial|Standard Edition|45301045|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Learn More|Standard Edition|45301045|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Test Drive|Standard Edition|45301045|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Financial|Standard Edition|45301049|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Learn More|Standard Edition|45301049|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Test Drive|Standard Edition|45301049|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Standard Edition|45301055|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Learn More|Standard Edition|45301055|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Standard Edition|45301055|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Financial|Standard Edition|45301060|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Learn More|Standard Edition|45301060|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Test Drive|Standard Edition|45301060|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Standard Edition|45301065|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Learn More|Standard Edition|45301065|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Standard Edition|45301065|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Standard Edition|45300574|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Learn More|Standard Edition|45300574|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|Mazda6|Saloon|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Standard Edition|45300574|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Brochure|Sport|45301078|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Financial|Sport|45301078|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Test Drive|Sport|45301078|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Brochure|Sport|45301082|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Financial|Sport|45301082|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Test Drive|Sport|45301082|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Brochure|Sport|45302104|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Brochure|Sport|45302106|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Financial|Sport|45302106|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Test Drive|Sport|45302106|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Brochure|Sport|45300581|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Sport|45300581|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Sport|45300581|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Brochure|Sport|45300587|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-3|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Brochure|Sport|45301078|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Financial|Sport|45301078|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|160x600|Test Drive|Sport|45301078|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Brochure|Sport|45301082|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Financial|Sport|45301082|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x250|Test Drive|Sport|45301082|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Brochure|Sport|45302104|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Financial|Sport|45302104|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|300x600|Test Drive|Sport|45302104|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Brochure|Sport|45302106|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Financial|Sport|45302106|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|320x50|Test Drive|Sport|45302106|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Brochure|Sport|45300581|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Financial|Sport|45300581|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|728x90|Test Drive|Sport|45300581|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Brochure|Sport|45300587|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Financial|Sport|45300587|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk_Gumtree|All|SUV|CX-5|Consumer|Inmarket|Prospecting|PMP|Awareness|BAU|970x250|Test Drive|Sport|45300587|DCM,Trade Desk Gumtree PMP
P2|Mazda|UK|Programmatic|Tradedesk|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Native|Awareness|BAU|1x1|None|Sport|None|DCM,Trade Desk Native
P2|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-3|Consumer|Inmarket|Prospecting|Native|Awareness|BAU|1x1|None|Sport|None|DCM,Trade Desk Native
P2|Mazda|UK|Programmatic|Tradedesk|All|SUV|CX-5|Consumer|Inmarket|Prospecting|Native|Awareness|BAU|1x1|None|Sport|None|DCM,Trade Desk Native
P2|Mazda|UK|Programmatic|Affectv|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|160x600|Financial|Standard Edition|45283386|DCM,Affectv Prospecting
P2|Mazda|UK|Programmatic|Affectv|All|MX-5 RF|None|Consumer|Inmarket|Prospecting|Search Retargeting|Awareness|BAU|160x600|Learn More|Standard Edition|45283386|DCM,Affectv Prospecting
